anchor_id,goal_evidence,checkpoint_dir,reference_encoder_version,goal_latent
val_T|T|s0|m2,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\real_evidence\sample_000_initial.npz,D:\EV-TTT\pushobj_shape_shift,0,D:\EV-TTT\adajepa_official_51d8665\artifacts\round_4_effect_geometry\b_truth_full_20260922_110025\evaluation_only\B_GOAL_LATENTS\val_T__T__s0__m2.npz
val_T|T|s0|m4,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\real_evidence\sample_000_initial.npz,D:\EV-TTT\pushobj_shape_shift,0,D:\EV-TTT\adajepa_official_51d8665\artifacts\round_4_effect_geometry\b_truth_full_20260922_110025\evaluation_only\B_GOAL_LATENTS\val_T__T__s0__m4.npz
val_T|T|s1|m2,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\real_evidence\sample_001_initial.npz,D:\EV-TTT\pushobj_shape_shift,0,D:\EV-TTT\adajepa_official_51d8665\artifacts\round_4_effect_geometry\b_truth_full_20260922_110025\evaluation_only\B_GOAL_LATENTS\val_T__T__s1__m2.npz
val_T|T|s1|m4,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\real_evidence\sample_001_initial.npz,D:\EV-TTT\pushobj_shape_shift,0,D:\EV-TTT\adajepa_official_51d8665\artifacts\round_4_effect_geometry\b_truth_full_20260922_110025\evaluation_only\B_GOAL_LATENTS\val_T__T__s1__m4.npz
val_T|T|s2|m2,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\real_evidence\sample_002_initial.npz,D:\EV-TTT\pushobj_shape_shift,0,D:\EV-TTT\adajepa_official_51d8665\artifacts\round_4_effect_geometry\b_truth_full_20260922_110025\evaluation_only\B_GOAL_LATENTS\val_T__T__s2__m2.npz
val_T|T|s2|m4,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3\real_evidence\sample_002_initial.npz,D:\EV-TTT\pushobj_shape_shift,0,D:\EV-TTT\adajepa_official_51d8665\artifacts\round_4_effect_geometry\b_truth_full_20260922_110025\evaluation_only\B_GOAL_LATENTS\val_T__T__s2__m4.npz
val_L|L|s0|m2,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3\real_evidence\sample_000_initial.npz,D:\EV-TTT\pushobj_shape_shift,0,D:\EV-TTT\adajepa_official_51d8665\artifacts\round_4_effect_geometry\b_truth_full_20260922_110025\evaluation_only\B_GOAL_LATENTS\val_L__L__s0__m2.npz
val_L|L|s0|m4,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3\real_evidence\sample_000_initial.npz,D:\EV-TTT\pushobj_shape_shift,0,D:\EV-TTT\adajepa_official_51d8665\artifacts\round_4_effect_geometry\b_truth_full_20260922_110025\evaluation_only\B_GOAL_LATENTS\val_L__L__s0__m4.npz
val_L|L|s1|m2,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3\real_evidence\sample_001_initial.npz,D:\EV-TTT\pushobj_shape_shift,0,D:\EV-TTT\adajepa_official_51d8665\artifacts\round_4_effect_geometry\b_truth_full_20260922_110025\evaluation_only\B_GOAL_LATENTS\val_L__L__s1__m2.npz
val_L|L|s1|m4,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3\real_evidence\sample_001_initial.npz,D:\EV-TTT\pushobj_shape_shift,0,D:\EV-TTT\adajepa_official_51d8665\artifacts\round_4_effect_geometry\b_truth_full_20260922_110025\evaluation_only\B_GOAL_LATENTS\val_L__L__s1__m4.npz
val_L|L|s2|m2,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3\real_evidence\sample_002_initial.npz,D:\EV-TTT\pushobj_shape_shift,0,D:\EV-TTT\adajepa_official_51d8665\artifacts\round_4_effect_geometry\b_truth_full_20260922_110025\evaluation_only\B_GOAL_LATENTS\val_L__L__s2__m2.npz
val_L|L|s2|m4,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3\real_evidence\sample_002_initial.npz,D:\EV-TTT\pushobj_shape_shift,0,D:\EV-TTT\adajepa_official_51d8665\artifacts\round_4_effect_geometry\b_truth_full_20260922_110025\evaluation_only\B_GOAL_LATENTS\val_L__L__s2__m4.npz
