physical_branch_id,anchor_id,labels,candidate_ids,trajectory_sidecar,oracle_for_training
val_L_L_s0_m4_b0,val_L|L|s0|m4,frozen,"{""frozen"":""g99_after""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_L_L_s0_m4_b0.npz,False
val_L_L_s0_m4_b1,val_L|L|s0|m4,adapted,"{""adapted"":""g74_before""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_L_L_s0_m4_b1.npz,False
val_L_L_s0_m4_b2,val_L|L|s0|m4,oracle,"{""oracle"":""g24_before""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_L_L_s0_m4_b2.npz,False
val_L_L_s1_m4_b0,val_L|L|s1|m4,frozen,"{""frozen"":""g99_after""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_L_L_s1_m4_b0.npz,False
val_L_L_s1_m4_b1,val_L|L|s1|m4,adapted,"{""adapted"":""g99_before""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_L_L_s1_m4_b1.npz,False
val_L_L_s1_m4_b2,val_L|L|s1|m4,oracle,"{""oracle"":""g24_after""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_L_L_s1_m4_b2.npz,False
val_L_L_s2_m4_b0,val_L|L|s2|m4,frozen,"{""frozen"":""g99_after""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_L_L_s2_m4_b0.npz,False
val_L_L_s2_m4_b1,val_L|L|s2|m4,adapted,"{""adapted"":""g99_before""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_L_L_s2_m4_b1.npz,False
val_L_L_s2_m4_b2,val_L|L|s2|m4,oracle,"{""oracle"":""g24_after""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_L_L_s2_m4_b2.npz,False
val_T_T_s0_m4_b0,val_T|T|s0|m4,frozen,"{""frozen"":""g99_after""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_T_T_s0_m4_b0.npz,False
val_T_T_s0_m4_b1,val_T|T|s0|m4,adapted,"{""adapted"":""g49_before""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_T_T_s0_m4_b1.npz,False
val_T_T_s0_m4_b2,val_T|T|s0|m4,oracle,"{""oracle"":""g24_before""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_T_T_s0_m4_b2.npz,False
val_T_T_s1_m4_b0,val_T|T|s1|m4,frozen;oracle,"{""frozen"":""g99_after"",""oracle"":""g99_after""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_T_T_s1_m4_b0.npz,False
val_T_T_s1_m4_b1,val_T|T|s1|m4,adapted,"{""adapted"":""g74_before""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_T_T_s1_m4_b1.npz,False
val_T_T_s2_m4_b0,val_T|T|s2|m4,frozen,"{""frozen"":""g99_after""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_T_T_s2_m4_b0.npz,False
val_T_T_s2_m4_b1,val_T|T|s2|m4,adapted,"{""adapted"":""g74_after""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_T_T_s2_m4_b1.npz,False
val_T_T_s2_m4_b2,val_T|T|s2|m4,oracle,"{""oracle"":""g0_before""}",D:\EV-TTT\adajepa_official_51d8665\artifacts\reframe_v3\common_continuation\trajectories\val_T_T_s2_m4_b2.npz,False
