anchor_id,scope,predictor,candidate_count,selected_key,exact_argmin_keys,epsilon_tie_keys,prediction_margin,selected_truth_regret,tie_aware_truth_regret_min,tie_aware_truth_regret_max,true_best_keys
val_L|L|s0|m4,all_three_logical_labels,open_plan_J_model,3,frozen,frozen,frozen,9.986339136958122e-06,0.0,0.0,0.0,frozen
val_L|L|s0|m4,all_three_logical_labels,matched_feedback_Qhat,3,oracle,oracle,oracle,2.002343535423279e-06,0.0006145434454083443,0.0006145434454083443,0.0006145434454083443,frozen
val_L|L|s0|m4,legal_frozen_adapted,open_plan_J_model,2,frozen,frozen,frozen,9.986339136958122e-06,0.0,0.0,0.0,frozen
val_L|L|s0|m4,legal_frozen_adapted,matched_feedback_Qhat,2,frozen,frozen,frozen;adapted,9.55536961555481e-07,0.0,0.0,0.0008296770974993706,frozen
val_L|L|s1|m4,all_three_logical_labels,open_plan_J_model,3,frozen,frozen,frozen;adapted,1.0710209608078003e-08,0.0023525990545749664,0.0023525767028331757,0.0023525990545749664,oracle
val_L|L|s1|m4,all_three_logical_labels,matched_feedback_Qhat,3,oracle,oracle,oracle,0.0001505725085735321,0.0,0.0,0.0,oracle
val_L|L|s1|m4,legal_frozen_adapted,open_plan_J_model,2,frozen,frozen,frozen;adapted,1.0710209608078003e-08,2.2351741790771484e-08,0.0,2.2351741790771484e-08,adapted
val_L|L|s1|m4,legal_frozen_adapted,matched_feedback_Qhat,2,adapted,adapted,frozen;adapted,3.725290298461914e-09,0.0,0.0,2.2351741790771484e-08,adapted
val_L|L|s2|m4,all_three_logical_labels,open_plan_J_model,3,frozen,frozen,frozen;adapted,1.0710209608078003e-08,7.450580596923828e-09,0.0,7.450580596923828e-09,adapted
val_L|L|s2|m4,all_three_logical_labels,matched_feedback_Qhat,3,frozen,frozen,frozen;adapted,1.4901161193847656e-08,7.450580596923828e-09,0.0,7.450580596923828e-09,adapted
val_L|L|s2|m4,legal_frozen_adapted,open_plan_J_model,2,frozen,frozen,frozen;adapted,1.0710209608078003e-08,7.450580596923828e-09,0.0,7.450580596923828e-09,adapted
val_L|L|s2|m4,legal_frozen_adapted,matched_feedback_Qhat,2,frozen,frozen,frozen;adapted,1.4901161193847656e-08,7.450580596923828e-09,0.0,7.450580596923828e-09,adapted
val_T|T|s0|m4,all_three_logical_labels,open_plan_J_model,3,frozen,frozen,frozen,0.0002755364403128624,0.0,0.0,0.0,frozen
val_T|T|s0|m4,all_three_logical_labels,matched_feedback_Qhat,3,frozen,frozen,frozen,0.00018805265426635742,0.0,0.0,0.0,frozen
val_T|T|s0|m4,legal_frozen_adapted,open_plan_J_model,2,frozen,frozen,frozen,0.0002755364403128624,0.0,0.0,0.0,frozen
val_T|T|s0|m4,legal_frozen_adapted,matched_feedback_Qhat,2,frozen,frozen,frozen,0.00018805265426635742,0.0,0.0,0.0,frozen
val_T|T|s1|m4,all_three_logical_labels,open_plan_J_model,3,frozen,frozen;oracle,frozen;oracle,1.7826445400714874e-05,3.604218363761902e-07,3.604218363761902e-07,3.604218363761902e-07,adapted
val_T|T|s1|m4,all_three_logical_labels,matched_feedback_Qhat,3,frozen,frozen;oracle,frozen;oracle,1.6903504729270935e-06,3.604218363761902e-07,3.604218363761902e-07,3.604218363761902e-07,adapted
val_T|T|s1|m4,legal_frozen_adapted,open_plan_J_model,2,frozen,frozen,frozen,1.7826445400714874e-05,3.604218363761902e-07,3.604218363761902e-07,3.604218363761902e-07,adapted
val_T|T|s1|m4,legal_frozen_adapted,matched_feedback_Qhat,2,frozen,frozen,frozen,1.6903504729270935e-06,3.604218363761902e-07,3.604218363761902e-07,3.604218363761902e-07,adapted
val_T|T|s2|m4,all_three_logical_labels,open_plan_J_model,3,frozen,frozen,frozen,1.0073650628328323e-05,0.004057515412569046,0.004057515412569046,0.004057515412569046,oracle
val_T|T|s2|m4,all_three_logical_labels,matched_feedback_Qhat,3,adapted,adapted,adapted,8.508190512657166e-05,0.004697803407907486,0.004697803407907486,0.004697803407907486,oracle
val_T|T|s2|m4,legal_frozen_adapted,open_plan_J_model,2,frozen,frozen,frozen,1.0073650628328323e-05,0.0,0.0,0.0,frozen
val_T|T|s2|m4,legal_frozen_adapted,matched_feedback_Qhat,2,adapted,adapted,adapted,8.508190512657166e-05,0.0006402879953384399,0.0006402879953384399,0.0006402879953384399,frozen
